Text,Date,Keyword
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Mon Apr 06 22:19:45 PDT 2009,general
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Mon Apr 06 22:19:49 PDT 2009,general
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Mon Apr 06 22:19:53 PDT 2009,general
my whole body feels itchy and like its on fire ,Mon Apr 06 22:19:57 PDT 2009,general
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Mon Apr 06 22:19:57 PDT 2009,general
@Kwesidei not the whole crew ,Mon Apr 06 22:20:00 PDT 2009,general
Need a hug ,Mon Apr 06 22:20:03 PDT 2009,general
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Mon Apr 06 22:20:03 PDT 2009,general
@Tatiana_K nope they didn't have it ,Mon Apr 06 22:20:05 PDT 2009,general
@twittera que me muera ? ,Mon Apr 06 22:20:09 PDT 2009,general
spring break in plain city... it's snowing ,Mon Apr 06 22:20:16 PDT 2009,general
I just re-pierced my ears ,Mon Apr 06 22:20:17 PDT 2009,general
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,Mon Apr 06 22:20:19 PDT 2009,general
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",Mon Apr 06 22:20:19 PDT 2009,general
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",Mon Apr 06 22:20:20 PDT 2009,general
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,Mon Apr 06 22:20:20 PDT 2009,general
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,Mon Apr 06 22:20:22 PDT 2009,general
about to file taxes ,Mon Apr 06 22:20:25 PDT 2009,general
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,Mon Apr 06 22:20:31 PDT 2009,general
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,Mon Apr 06 22:20:34 PDT 2009,general
@alydesigns i was out most of the day so didn't get much done ,Mon Apr 06 22:20:37 PDT 2009,general
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",Mon Apr 06 22:20:38 PDT 2009,general
@angry_barista I baked you a cake but I ated it ,Mon Apr 06 22:20:40 PDT 2009,general
this week is not going as i had hoped ,Mon Apr 06 22:20:40 PDT 2009,general
blagh class at 8 tomorrow ,Mon Apr 06 22:20:41 PDT 2009,general
I hate when I have to call and wake people up ,Mon Apr 06 22:20:44 PDT 2009,general
Just going to cry myself to sleep after watching Marley and Me.  ,Mon Apr 06 22:20:50 PDT 2009,general
im sad now  Miss.Lilly,Mon Apr 06 22:20:52 PDT 2009,general
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,Mon Apr 06 22:20:56 PDT 2009,general
Meh... Almost Lover is the exception... this track gets me depressed every time. ,Mon Apr 06 22:21:04 PDT 2009,general
some1 hacked my account on aim  now i have to make a new one,Mon Apr 06 22:21:07 PDT 2009,general
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,Mon Apr 06 22:21:07 PDT 2009,general
